,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
326,dunedin,NZ,1630969509,-45.8742,170.5036,12.52,67,49,0.35
327,lagarto,BR,1630969510,-10.9172,-37.65,24.16,95,4,2.53
328,abha,SA,1630969512,18.2164,42.5053,17.14,72,0,0.0
329,saldanha,ZA,1630969514,-33.0117,17.9442,12.19,73,0,7.86
330,prince george,CA,1630969516,53.9166,-122.753,20.7,44,99,0.89
331,ulaangom,MN,1630969517,49.9811,92.0667,15.04,40,0,2.92
332,luchenza,MW,1630969519,-16.0069,35.3095,19.51,53,1,0.89
333,kilindoni,TZ,1630969521,-7.9139,39.6668,24.48,77,44,3.88
334,liverpool,GB,1630969313,53.4106,-2.9779,17.77,86,97,1.54
335,mangrol,IN,1630969524,21.1167,70.1167,26.72,89,99,4.71
336,ornskoldsvik,SE,1630969526,63.2909,18.7153,12.53,82,90,4.63
337,chenzhou,CN,1630969528,25.8,113.0333,23.21,98,100,1.62
338,marienburg,PL,1630969532,54.0359,19.0266,12.71,63,99,3.38
339,saint george,US,1630969247,37.1041,-113.5841,40.77,13,1,1.34
340,lorengau,PG,1630969535,-2.0226,147.2712,27.78,80,98,4.78
341,hashtrud,IR,1630969538,37.4779,47.0508,16.36,47,0,2.19
342,inhambane,MZ,1630969539,-23.865,35.3833,21.1,92,4,3.46
343,narsaq,GL,1630969541,60.9167,-46.05,8.12,76,11,1.27
344,kutum,SD,1630969543,14.2,24.6667,24.99,54,41,1.11
345,prince rupert,CA,1630969404,54.3161,-130.3201,14.05,88,90,3.6
346,taywarah,AF,1630969546,33.35,64.4167,13.52,17,2,2.35
347,sept-iles,CA,1630969547,50.2001,-66.3821,14.29,96,90,2.24
348,college,US,1630969549,64.8569,-147.8028,12.81,65,75,1.54
349,salalah,OM,1630969551,17.0151,54.0924,26.05,100,90,0.0
350,nuuk,GL,1630969553,64.1835,-51.7216,3.34,100,90,2.57
351,ventspils,LV,1630969460,57.3894,21.5606,10.96,100,0,2.06
352,bogorodskoye,RU,1630969556,56.55,37.8833,7.1,96,69,2.9
353,bud,US,1630969558,39.447,-86.1758,27.99,76,29,3.09
354,casablanca,MA,1630969560,33.5928,-7.6192,24.12,67,12,1.1
355,puerto lopez,CO,1630969562,4.0845,-72.956,23.94,90,100,0.76
356,shadegan,IR,1630969564,30.6497,48.6647,35.03,11,0,4.99
357,meulaboh,ID,1630969565,4.1363,96.1285,24.33,90,73,1.09
358,flic en flac,MU,1630969570,-20.2742,57.3631,20.29,75,21,7.52
359,ceyranbatan,AZ,1630969573,40.5408,49.6597,21.84,78,31,13.97
360,kurmanayevka,RU,1630969575,52.5093,52.0675,9.52,56,46,1.07
361,placido de castro,BR,1630969577,-10.3353,-67.1856,27.34,65,97,1.63
362,luanda,AO,1630969579,-8.8368,13.2343,22.03,90,73,3.03
363,hasaki,JP,1630969581,35.7333,140.8333,19.22,62,61,7.84
364,athmallik,IN,1630969583,20.7219,84.5348,25.18,95,100,1.58
365,berbera,SO,1630969585,10.4396,45.0143,33.02,48,96,3.9
